SubjectID,StimulusType,response,RT
8,1,1,1253
8,1,1,340
8,1,1,414
8,0,0,0
8,1,1,462
8,1,1,570
8,1,1,327
8,1,1,341
8,1,1,344
8,1,1,291
8,1,1,412
8,0,0,0
8,0,0,0
8,1,1,359
8,1,1,396
8,1,1,361
8,1,1,340
8,1,1,310
8,1,1,393
8,1,1,377
8,1,1,376
8,1,1,362
8,0,0,0
8,1,1,378
8,1,1,357
8,0,0,0
8,1,1,460
8,1,0,0
8,0,0,0
8,0,0,0
8,1,1,342
8,1,1,362
8,1,1,359
8,0,0,0
8,1,1,425
8,0,0,0
8,1,1,308
8,1,1,390
8,1,1,343
8,0,0,0
8,1,1,461
8,1,1,394
8,1,1,409
8,1,1,342
8,0,0,0
8,1,1,345
8,1,1,392
8,1,1,375
8,1,1,295
8,1,1,410
8,1,1,361
8,1,1,309
8,1,1,395
8,1,1,275
8,1,1,322
8,1,1,395
8,1,1,345
8,1,1,359
8,1,1,293
8,1,1,309
8,1,1,307
8,1,1,460
8,0,0,0
8,1,1,325
8,1,1,396
8,0,0,0
8,0,0,0
8,1,1,375
8,1,1,343
8,1,1,341
8,0,0,0
8,0,0,0
8,1,1,309
8,1,1,359
8,1,1,345
8,1,1,293
8,1,1,293
8,1,1,308
8,1,1,309
8,0,0,0
8,1,1,345
8,1,1,339
8,1,1,310
8,1,1,378
8,1,1,310
8,1,1,309
8,1,1,291
8,1,1,290
8,1,1,308
8,1,1,360
8,0,0,0
8,0,0,0
8,1,1,441
8,1,1,292
8,1,1,510
8,1,1,360
8,1,1,326
8,1,1,292
8,1,1,309
8,0,0,0
